IMDB,MOVIE TITLE,Release Date,Cast,Duration,Production,Genre,Country
N/A,Time Addicts,2023-10-27,"['Freya Tingley', 'Elise Jansen', 'Charles Grounds', 'Joshua Morton']","97
                min",Exile Productions,,
N/A,Numb,2023-08-31,"['Kiana Mehdi Abadi', 'Ayhan Shaygan', 'Nora Hanifeh Zadeh', 'Shabnam Dadkhah', 'Rayan Razmi']","91
                min",Not Defined,,
N/A,Monolith,2023-10-26,"['Damon Herriman', 'Ansuya Nathan', 'Brigid Zengeni', 'Terence Crawford', 'Erik Thomson']","94
                min",South Australian Film Corporation,,
N/A,Model,2021-08-25,"['Brett Benowitz', 'Elijah Lockhart', 'Trin Miller', 'Jasper Newman']","12
                min",Muskrat Content,,
N/A,Kampon,2023-12-25,"['Alfonso Ynigo Delen', 'Nico Antonio', 'Lui Manansala', 'Kean Cipriano', 'Beauty Gonzalez']","91
                min",Quantum Films,,
N/A,I Me Wed,2007-07-29,"['Paul Popowich', 'Natalie Brown', 'Terrilynn Rader', 'Janet-Laine Green', 'Vlasta Vrána']","87
                min",Muse Entertainment,,
N/A,Downtown Owl,2023-06-08,"['Arianna Jaffier', 'Matt Roy', 'Ed Harris', 'Derek Hughes', 'Finn Wittrock']","88
                min",TPC,,
N/A,Arthur the King,2024-03-15,"['Ali Suliman', 'Nathalie Emmanuel', 'Simu Liu', 'Carlton Byrd', 'Arturo Duvergé']","107
                min",Sierra/Affinity,,
7.3,Exhuma,2024-02-22,"['Jeon Jin-gi', 'Baek Seung-chul', 'Yoo Hae-jin', 'Kim Go-eun', 'Kim Sun-young']","134
                min",Showbox,,
5.3,The Christmas Break,2023-12-15,"['Brid Ni Neacthain', 'India Mullen', 'Owen Roe', 'Russell Cate', 'Ruth Kearney']","99
                min",Marvista Entertainment,,
7.2,Wrong Journey,2023-03-31,"['Tim Yanick', 'Harry Junior', 'Chenwi Godloves', 'Mbang Hilda']","125
                min",Not Defined,,
7,Worlds Apart,2008-02-22,"['Amalie Lindegård', 'Jytte Kvinesdal', 'Thomas Knuth-Winterfeldt', 'Rosalinde Mynster', 'Helene Reingaard Neumann']","116
                min",Nordisk Film Denmark,,
7,The Wedding Rule,2023-04-16,"['Dennis Andres', 'Brittany Charlotte Smith', 'Chris Gleason', 'Theresa Tova', 'Julie Nolke']","90
                min",CME City Productions,,
7.5,Warning 2,2024-02-02,"['Rahul Dev', 'Jasmin Bhasin', 'Jaggi Singh', 'Gippy Grewal', 'Deedar Gill']","125
                min",Humble Motion Pictures,,
6.8,Villains Incorporated,2024-04-19,"['Jason Gray', 'Jeff Bryan Davis', 'Mallory Everton', 'Charla Bocchicchio', 'Colin Mochrie']","103
                min",Team Squad Media (US),,
7.1,Toll,2023-09-08,"['Denner', 'Adriana Cappi', 'Alexandre Roit', 'Fabio Marcoff', 'Kauan Alvarenga']","102
                min",Biônica Filmes,,
7.7,Tiger,2024-04-22,['Priyanka Chopra'],"90
                min",Disneynature,,
5.8,The War on Children,2024-02-02,"['Robby Starbuck', 'Landon Starbuck', 'Rand Paul', 'Seth Gruber', 'Chaya Raichik']","139
                min",Starbuck Studios,,
5.5,Land of Women,2023-04-27,"['Alessandro Haber', 'Syama Rayner', 'Haruhiko Yamanouchi', 'Paola Sini', 'Jan Bijvoet']","104
                min",Not Defined,,
7.2,The Dream,2023-12-15,"['George Ivașcu', 'Gabriel Spahiu', 'Oana Marcu', 'Silviu Mircescu', 'Nicodim Ungureanu']","135
                min",Not Defined,,
7.1,The Burdened,2023-08-11,"['Omar Elyas', 'Khaled Hamdan', 'Fatema Adulbqawi', 'Ruaida Rubaih', 'Shahd Algonfedy']","91
                min",Adenium Productions,,
6.5,The Breaking Ice,2023-08-22,"['Yusheng Li', 'Ruguang Wei', 'Zhao Wenhao', 'Zhou Dongyu', 'Liu Haoran']","97
                min",Canopy Pictures,,
7,The Absence of Eden,2024-04-12,"['Chris Coy', 'Tom Waits', 'Adria Arjona', 'Zoe Saldana', 'Garrett Hedlund']","97
                min",Ashland Hill Media Finance,,
7.1,South of Hope Street,2024-04-18,"['William Baldwin', 'Michael Madsen', 'Asser Yasine', 'Jack McEvoy', 'Judd Nelson']","101
                min",Not Defined,,
5.4,Refuge,2023-11-24,"['Sophie Simnett', 'Atanas Srebrev', 'Jason Flemyng', 'Johanna Harlin', 'Max Kraus']","91
                min",Revelations Entertainment,,
7.3,Sunset: The Mystery of the Necklace of São Cajó,2023-08-03,"['Rui Melo', 'Manuel Cavaco', 'Carla Andrino', 'António Melo', 'Susana Blazer']","112
                min",Coyote Vadio,,
N/A,My Little Nightmare,2024-04-08,"['Bryant Smith', 'Jeremy Chavez', 'Judy Lay', 'Corey Taylor', 'Julie Garcia-Briceno']","133
                min",Carcass Studios,,
6.4,My Child Has My Doctor’s Face,2024-04-20,"['Michael Profunato', ""Daniel O'Reilly"", 'Jason Tobias', 'Natalie Polisson', 'Jax Binkert']","86
                min",Johnson Production Group,,
5.4,Long Lost Son,2006-07-24,"['Gabrielle Anwar', 'Craig Sheffer', 'Richard Blade', 'Philip Granger', 'Dennis Garber']","88
                min",Christopher Filmcapital,,
5.4,Locked in My House,2024-04-18,"['Lara Amersey', 'Morgan Kelly', 'Natalie Brown', 'Damon Runyan', 'Jinny Wong']","90
                min",CME Spring Productions,,
